icao24,callsign,origin_country,longitude,latitude,baro_altitude,true_track,velocity_kmh,origin_country
801699,AXB1235 ,India,73.0152,19.2153,3032.76,92.32,457.812,India
3cc95a,UNI133  ,Germany,7.0678,50.9226,457.2,136.68,267.264,Germany
abb3c3,N853PA  ,United States,-95.6775,29.8273,53.34,155.1,114.33600000000001,United States
acdfe4,N929D   ,United States,-77.0719,39.7577,1950.72,228.21,280.692,United States
a3eba1,N3515X  ,United States,-88.6392,43.422,670.56,335.94,227.16,United States
3c6675,DLH883  ,Germany,10.6317,46.8416,10980.42,218.16,770.2560000000001,Germany
a4d838,DAL299  ,United States,-16.8542,14.078,10972.8,298.11,766.404,United States
a2d2f2,AAY3207 ,United States,-110.9796,34.7403,9517.38,45.15,1031.94,United States
4bc8d2,PGT2422 ,Turkey,31.6589,40.3589,10454.64,107.82,871.488,Turkey
80164e,AIC1858 ,India,77.3753,13.4918,10980.42,5.0,892.368,India
ad5679,DAL2179 ,United States,-80.0153,32.8697,121.92,327.56,283.104,United States
471efa,WMT138  ,Hungary,13.3214,48.7067,10980.42,295.94,753.7320000000001,Hungary
e4941c,AZU8716 ,Brazil,-48.3664,-21.7051,8244.84,314.12,768.816,Brazil
471eff,WZZ9AE  ,Hungary,20.1446,45.0471,10683.24,136.38,813.492,Hungary
471efc,WMT102  ,Hungary,9.1944,48.6849,754.38,254.71,288.0,Hungary
40812e,EZY2967 ,United Kingdom,7.8497,41.2288,11887.2,152.72,800.136,United Kingdom
a963ea,N704FC  ,United States,-88.1778,41.5652,1417.32,318.39,465.6960000000001,United States
a0db99,N1541U  ,United States,-97.8378,29.9102,464.82,354.81,184.104,United States
801667,AIC2814 ,India,77.2186,27.2451,6873.24,358.96,716.832,India
e80272,LAN770  ,Chile,-48.3831,-25.7459,11277.6,64.99,854.244,Chile
801665,AIC106  ,India,-61.04,45.6623,10668.0,61.96,996.696,India
a7b074,EJM595  ,United States,-87.5463,34.5273,13106.4,294.21,704.592,United States
ae631b,ROKT61  ,United States,-87.8016,30.4267,4069.08,49.69,704.268,United States
51118a,CFG433  ,Estonia,17.1311,49.442,10980.42,314.71,784.44,Estonia
ad9cd9,N9764F  ,United States,-80.249,25.9981,-30.48,90.84,125.96400000000001,United States
44029f,AUA217N ,Austria,13.9485,49.4581,10172.7,305.72,796.14,Austria
a678cf,TFF909  ,United States,-88.1842,29.1734,13106.4,272.72,702.684,United States
80165c,AXB813  ,India,55.8573,25.1458,2209.8,311.86,477.3960000000001,India
abfc71,SWA3171 ,United States,-117.7899,34.3526,9753.6,259.11,695.916,United States
a3a541,CXK491  ,United States,-72.7769,40.9286,563.88,204.65,173.196,United States
adecb6,DAL1704 ,United States,-87.6773,36.8793,9151.62,312.64,762.804,United States
a5a8d3,N464DS  ,United States,-83.7464,30.5616,2689.86,160.37,253.65599999999998,United States
a39bee,N3310R  ,United States,-87.8411,43.3183,1097.28,17.06,170.46,United States
a34e97,DAL1990 ,United States,-80.0209,27.0901,10370.82,155.14,973.62,United States
511194,MBU8KZ  ,Estonia,-1.8476,41.5038,11582.4,42.2,885.024,Estonia
a3556f,JBU372  ,United States,-78.3983,31.0648,10668.0,7.21,767.2320000000001,United States
a2cbf0,N28DC   ,United States,-72.4693,22.063,12192.0,302.84,764.928,United States
ad4f86,JSX610  ,United States,-119.2392,34.6818,10195.56,141.72,783.252,United States
a3b86c,DAL611  ,United States,-96.7117,27.1625,10965.18,192.67,793.476,United States
a4c527,RPA4809 ,United States,-77.9804,40.3132,7627.62,90.61,866.772,United States
a2cbdb,N28CG   ,United States,-77.9172,34.488,1828.8,176.63,504.61199999999997,United States
ae13b3,MEOW76  ,United States,-97.5354,36.2344,3337.56,190.23,365.076,United States
801671,AIC1714 ,India,87.327,23.0635,7513.32,121.42,870.3000000000001,India
a59537,N459TC  ,United States,-104.3557,39.7974,2095.5,263.91,279.36,United States
ac21e4,DAL1933 ,United States,-89.6927,28.2045,10668.0,159.61,924.696,United States
aba149,N849AA  ,United States,-80.1628,26.328,358.14,45.94,159.804,United States
